id,name,latitude,longitude
hotel_aurassi,Hotel El-Aurassi,36.77658596259107,3.0514184804441955
mercure,Mercure Alger Aeroport,36.71828685872152,3.1936792898781854
ad,AD Hotel Pont Hydra,36.770901838736265,3.04444974578661
az_kouba,AZ Hotel Kouba,36.76210089515046,3.1007546793572502
soufitel,Sofitel Algiers Hamma Garden,36.75068610486672,3.072835846053332
az_viewkouba,AZ Old Kouba Hotel,36.74669681349283,3.080155313416772
atlantis,Atlantis Alger Aéroport ex Ibis,36.73698785393331,3.1955085468338225
hyatt,Hyatt Regency Algiers Airport,36.72267948492079,3.2216010770250945
sheraton,Sheraton Club des Pins Resort,36.77989696053621,2.8590522364726803
inn,Holiday Inn Algiers - Cheraga Tower by IHG,36.77219709362564,2.9538093197988795
mariott,Algiers Marriott Hotel Bab Ezzouar,36.73258556283757,3.1804023451441386
tulip,Golden Tulip Royaume,36.71387300958151,3.1529365238901677
lamaraz,Lamaraz Hotels,36.757895288956426,3.074658933316351
kingdom,Kingdom Luxury Cheraga,36.77989696053621,2.975781976802056
legacy,The Legacy Luxury Hotel,36.77459235554092,3.037576858735925
azul,Hotel Club Azul,36.76009574020286,2.8466926169083933
palmbeach,Hotel AZ Vague D'Or - Palm Beach,36.75349419708844,2.86866527391157
saintgeorge,Hotel El Djazair,36.77329712196543,3.0375800746234902
